No,Word,Frequency
602,kemasannya,12
603,begitu ,12
604,charging,12
605,dichat,12
606,kainnya,12
607,maksimal,12
608,cabang,12
609,punggung,12
610,note,12
611,kering,12
612,profesional,12
613,besi,12
614,play,12
615,lubang,12
616,besoknya,12
617,biaya,12
618,20,12
619,buyer,12
620,palsu,12
621,baunya,12
622,kota,12
623,pembatalan,12
624,terpaksa,12
625,tertulis,12
626,basi,12
627,resi,12
628,kacau,12
629,kencang,11
630,"harga,",11
631,coklat,11
632,gede,11
633,makan,11
634,"selamat,",11
635,terang,11
636,"tebal,",11
637,layanan,11
638,exp,11
639,ikan,11
640,pilihan,11
641,"mantab,",11
642,rambut,11
643,kantong,11
644,"mengecewakan,",11
645,sinyal,11
646,dibawa,11
647,komunikatif,11
648,check,11
649,kebuka,11
650,cover,11
651,masak,11
652,talinya,11
653,ekspetasi,11
654,kaku,11
655,prosesnya,11
656,wkwk,11
657,mesti,11
658,"putih,",11
659,"terima,",11
660,ergonomis,11
661,pokok,11
662,dibawa-bawa,11
663,fotonya,11
664,lakban,11
665,jatuh,11
666,sulit,11
667,pengalaman,11
668,televisi,11
669,dibentuk,11
670,otomatis,11
671,"plastik,",11
672,sungguh,11
673,kopi,11
674,pengembalian,11
675,tumpah,11
676,gagal,11
677,parfum,11
678,nama,11
679,tengah,11
680,sebulan,11
681,bersaing,10
682,seler,10
683,utuh,10
684,"awet,",10
685,melayani,10
686,sabar,10
687,terjangkau!,10
688,"kasih,",10
689,teksturnya,10
690,"kirim,",10
691,on,10
692,ragu,10
693,miring,10
694,"lah,",10
695,kirimnya,10
696,"datang,",10
697,plus,10
698,celananya,10
699,guys,10
700,lecek,10
701,over,10
702,all,10
703,"wrap,",10
704,"kuat,",10
705,tajam,10
706,aslinya,10
707,to,10
708,dipakai ,10
709,putus,10
710,tali,10
711,xl,10
712,aneh,10
713,markotop,10
714,kaleng,10
715,angin,10
716,praktis,10
717,samsung,10
718,"memuaskan,",10
719,kardusnya,10
720,battery,10
721,bawa,10
722,setting,10
723,dicuci,10
724,colok,10
725,karena ,10
726,"kurang,",10
727,24,10
728,janji,10
729,harap,10
730,aromanya,10
731,bunyi,10
732,mobil,10
733,menyala,10
734,sistem,10
735,bilangnya,10
736,gojek,10
737,silakan,10
738,deli,10
739,lagi ,10
740,"semua,",10
741,dibeli,10
742,bermasalah,10
743,tutupnya,10
744,tulis,10
745,diperbaiki,10
746,"jawab,",10
747,diperhatikan,10
748,hadiahnya,10
749,itupun,10
750,dikembalikan,10
751,"gan,",9
752,makanan,9
753,real,9
754,mudahan,9
755,????????????,9
756,dikemas,9
757,"digunakan,",9
758,kembali!,9
759,belinya,9
760,karetnya,9
761,agan,9
762,kotoran,9
763,mantap betul,9
764,kekecilan,9
765,sekolah,9
766,bebas,9
767,ditingkatkan,9
768,bungkusnya,9
769,"mahal,",9
770,dibilang,9
771,negative,9
772,gagang,9
773,"kokoh,",9
774,hemat,9
775,koneksi,9
776,"kali,",9
777,"lembut,",9
778,"order,",9
779,jasa,9
780,pembaruan,9
781,gelap,9
782,alami,9
783,memicu,9
784,alergi,9
785,menutup,9
786,duduk,9
787,tripod,9
788,screen,9
789,sisi,9
790,stabil,9
791,aplikasi,9
792,lupa,9
793,sabtu,9
794,boxnya,9
795,pudar,9
796,bingung,9
797,pc,9
798,klik,9
799,dimainkan,9
800,"baru,",9
801,disegel,9
802,nomor,9
803,"penyok,",9
804,rgb,9
805,"lambat,",9
806,angka,9
807,mainan,9
808,dimana,9
809,sekelas,9
810,rabu,9
811,cinta,9
812,gold,9
813,lapis,9
814,expedisi,9
815,sisa,9
816,apes,9
817,"hidup,",9
818,perhatikan,9
819,"beli,",9
820,balasan,9
821,benar ,8
822,kebutuhan,8
823,sampai ,8
824,persediaan,8
825,"banyak,",8
826,belajar,8
827,pack,8
828,card,8
829,"nih,",8
830,"biasa,",8
831,recommended!,8
832,kulkas,8
833,barang ,8
834,alatnya,8
835,time,8
836,cahaya,8
837,deskripsi??,8
838,terjamin,8
839,"waktu,",8
840,bonusnya,8
841,"3,",8
842,memasukkan,8
843,expired,8
844,"halus,",8
845,kayu,8
846,telat,8
847,gosend,8
848,sempurna,8
849,berguna,8
850,detail,8
851,"jelas,",8
852,pengemasannya,8
853,"sobek,",8
854,by,8
855,busa,8
856,mewah,8
857,buah,8
858,mutu,8
859,kesal,8
860,unit,8
861,indonesia,8
862,kakinya,8
863,longgar,8
864,tombolnya,8
865,tidur,8
866,lebar,8
867,terlanjur,8
868,kotaknya,8
869,"barangnya,",8
870,sambungan,8
871,penjelasan,8
872,gatal,8
873,merata,8
874,kerusakan,8
875,pro,8
876,"hari,",8
877,!!!!,8
878,gila,8
879,packagingnya,8
880,aplikator,8
881,jaya,8
882,jamnya,8
883,sekian,8
884,"cepet,",8
885,sarung,8
886,spesifikasi,8
887,station,8
888,satunya,8
889,pelindung,8
890,seharian,8
891,lapak,8
892,(,8
893,led,8
894,dikonfirmasi,8
895,lelet,8
896,"nyala,",8
897,"diterima,",8
898,jenis,8
899,penuh,8
900,"produk,",8
901,"bisa,",8
902,iklannya,8
903,balon,8
904,"itu,",8
905,tidak bisa,8
906,ditulis,8
907,padahal ,8
908,colokan,8
909,komunikasi,8
910,pendek,8
911,noda,8
912,rapat,8
913,malu,8
914,overload,8
915,kancing,8
916,varian,8
917,senin,8
918,penipu,8
919,menipu,8
920,is,7
921,iklan,7
922,licin,7
923,"robek,",7
924,manis,7
925,segar,7
926,masukan,7
927,wrapnya,7
928,kinclong,7
929,mantap!,7
930,brang,7
931,warp,7
932,"hitam,",7
933,diragukan,7
934,mantappp,7
935,sombong,7
936,far,7
937,dasar,7
938,cashback,7
939,"tebel,",7
940,"saja,",7
941,kekurangan,7
942,huhu,7
943,manual,7
944,goyang,7
945,data,7
946,kabelnya,7
947,"doang,",7
948,benang,7
949,"pesan,",7
950,katun,7
951,grey,7
952,"mati,",7
953,dites,7
954,tersebar,7
955,green,7
956,this,7
957,kasih!,7
958,bening,7
959,buru,7
960,dusnya,7
961,zoom,7
962,"kecil,",7
963,"kedua,",7
964,potongan,7
965,dibagian,7
966,pegangan,7
967,tripodnya,7
968,"proses,",7
969,ampun,7
970,obat,7
971,jack,7
972,difoto,7
973,ah,7
974,"online,",7
975,jaga,7
976,sumpah,7
977,pintar,7
978,ringkih,7
979,"sama,",7
980,"puas,",7
981,home,7
982,sensitif,7
983,diantar,7
984,power,7
985,semoga ,7
986,daya,7
987,bulu,7
988,ayam,7
989,maskernya,7
990,tong,7
991,tikus,7
992,pesenan,7
993,pickup,7
994,"parah,",7
995,cina,7
996,bh,7
997,polos,7
998,minum,7
999,kamis,7
1000,90,7
1001,11,7
1002,datangnya,7
1003,ekstra,7
1004,"penjual,",7
1005,kutu,7
1006,alasannya,7
1007,pick,7
1008,"gitu,",7
1009,seadanya,7
1010,pelajaran,7
1011,bubblewrap,7
1012,expektasi,7
1013,atc,7
1014,menyarankan,7
1015,rendah,7
1016,reject,7
1017,part,7
1018,mc,7
1019,bengkok,7
1020,mur,7
1021,cd,7
1022,baby,7
1023,mengerti,7
1024,berbelit,7
1025,pie,7
1026,mengajukan,7
1027,ban,7
1028,minimal,7
1029,gas,7
1030,banget!,7
1031,"amanah,",6
1032,16,6
1033,"berkualitas,",6
1034,terbaru,6
1035,safety,6
1036,rupiah,6
1037,nasi,6
1038,ongkirnya,6
1039,"overall,",6
1040,"terjangkau,",6
1041,"pas,",6
1042,dilapis,6
1043,tulisannya,6
1044,dibersihkan,6
1045,variasi,6
1046,for,6
1047,"gercep,",6
1048,dilapisi,6
1049,"komunikatif,",6
1050,juara,6
1051,"lg,",6
1052,rontok,6
1053,efek,6
1054,jadwal,6
1055,api,6
1056,diskripsi,6
1057,paketan,6
1058,"kak,",6
1059,bicara,6
1060,",,",6
1061,lari,6
1062,"adem,",6
1063,cepatt,6
1064,2022,6
1065,responsive,6
1066,untungnya,6
1067,pisau,6
1068,lantai,6
1069,bantu,6
1070,of,6
1071,bersahabat,6
1072,"kurir,",6
1073,noise,6
1074,alarm,6
1075,display,6
1076,minus,6
1077,pemasangan,6
1078,transparan,6
1079,takut,6
1080,sepatunya,6
1081,cairan,6
1082,"panas,",6
1083,42,6
1084,"suka,",6
1085,tebalnya,6
1086,dijadikan,6
1087,40,6
1088,"warna,",6
1089,sis,6
1090,kekurangannya,6
1091,bajunya,6
1092,kekinian,6
1093,"biru,",6
1094,datang ,6
1095,istri,6
1096,melembabkan,6
1097,),6
1098,kebanyakan,6
1099,drone,6
1100,"ringan,",6
1101,bentuknya,6
1102,day,6
1103,"lengkap,",6
1104,remote,6
1105,puluh,6
1106,tipe,6
1107,bag,6
1108,wajar,6
1109,holder,6
1110,"menit,",6
1111,jakarta,6
1112,adaptor,6
1113,"harapan,",6
1114,tahunnya,6
1115,mini,6
1116,keyboard,6
1117,penggunaan,6
1118,recomend,6
1119,kecepatan,6
1120,motor,6
1121,ungu,6
1122,ps2,6
1123,indikator,6
1124,"masalah,",6
1125,tangerang,6
1126,print,6
1127,be,6
1128,lobang,6
1129,total,6
1130,diatur,6
1131,tim,6
1132,"pakai,",6
1133,merah muda,6
1134,toilet,6
1135,udara,6
1136,petunjuk,6
1137,seal,6
1138,gel,6
1139,direspon,6
1140,ditambah,6
1141,menarik,6
1142,dibantu,6
1143,dibuang,6
1144,berharap,6
1145,tanggapan,6
1146,komen,6
1147,hati hati,6
1148,helm,6
1149,selisih,6
1150,kusam,6
1151,aroma,6
1152,spray,6
1153,filter,6
1154,30,6
1155,fix,6
1156,2-3,6
1157,mas,6
1158,minyak,6
1159,cream,6
1160,boro,6
1161,luntur,6
1162,100,6
1163,airnya,6
1164,asal-asalan,6
1165,kunci,6
1166,"apa,",6
1167,50,6
1168,costumer,6
1169,batal,6
1170,datengnya,6
1171,alias,6
1172,return,6
1173,kepuasan,6
1174,obeng,6
1175,complaint,6
1176,jari,6
1177,dengan ,6
1178,diffuser,6
1179,itikad,6
1180,label,6
1181,"tidak,",6
1182,kebesaran,6
1183,posisinya,6
1184,disayangkan,6
1185,ini?,6
1186,mengalami,6
1187,ketok,6
1188,rice,6
1189,driver,6
1190,produksi,6
1191,tipu,6
1192,bahasa,6
1193,kresek,6
1194,perbaikan,6
1195,gift,6
1196,ky,6
1197,berusaha,6
1198,libur,6
1199,tertipu,6
1200,mentang,6
1201,blanja,6
1202,teman-teman,6
1203,read,6
1204,penipuan,6
1205,baiknya,6
1206,paham,6
1207,"pembeli,",6
1208,"dulu,",6
1209,versi,6
1210,joss,5
1211,berjalan,5
1212,amin,5
1213,pekerjaan,5
1214,presisi,5
1215,"kado,",5
1216,nya!,5
1217,sebanding,5
1218,panduan,5
1219,mendarat,5
1220,"ekspektasi,",5
1221,benar-benar ,5
1222,dagingnya,5
1223,job,5
1224,tersedia,5
1225,macet,5
1226,kendaraan,5
1227,kondisinya,5
1228,slip,5
1229,duper,5
1230,efektif,5
1231,ikannya,5
1232,cod,5
1233,repurchase,5
1234,berhasil,5
1235,bye,5
1236,efeknya,5
1237,balonnya,5
1238,"tokopedia,",5
1239,aki,5
1240,pinggir,5
1241,ditanggapi,5
1242,bang,5
1243,berasa,5
1244,sopan,5
1245,designnya,5
1246,sederhana,5
1247,"mulus,",5
1248,lembar,5
1249,duanya,5
1250,korea,5
1251,pulau,5
1252,penukaran,5
1253,kesini,5
1254,apa-apa,5
1255,berwarna,5
1256,maju,5
1257,bawahnya,5
1258,kertasnya,5
1259,ya?,5
1260,dipakainya,5
1261,memilih,5
1262,ngecas,5
1263,apple,5
1264,touch,5
1265,control,5
1266,speaker,5
1267,elegan,5
1268,strap,5
1269,terpasang,5
1270,sangka,5
1271,istimewa,5
1272,orangnya,5
1273,sebagus,5
1274,dewasa,5
1275,ditawarkan,5
1276,"segitu,",5
1277,pengawet,5
1278,turun,5
1279,"jg,",5
1280,fleksibel,5
1281,boros,5
1282,berisik,5
1283,saku,5
1284,iphone,5
1285,casing,5
1286,gambarnya,5
1287,direkomendasikan,5
1288,dimasukkan,5
1289,bersamaan,5
1290,"harganya,",5
1291,memasang,5
1292,kepalanya,5
1293,kecuali,5
1294,"gimana,",5
1295,"dah,",5
1296,berhubung,5
1297,much,5
1298,matte,5
1299,"sendiri,",5
1300,connect,5
1301,allah,5
1302,dihasilkan,5
1303,menonton,5
1304,highly,5
1305,mantaaaaap,5
1306,menjaga,5
1307,sablon,5
1308,sablonnya,5
1309,price,5
1310,"murahan,",5
1311,hujan,5
1312,"deh,",5
1313,pic,5
1314,"produknya,",5
1315,simpel,5
1316,bro,5
1317,pegal,5
1318,qualitynya,5
1319,brgnya,5
1320,???,5
1321,pouch,5
1322,gamepad,5
1323,lcd,5
1324,mengisi,5
1325,bagus!,5
1326,meja,5
1327,"cpt,",5
1328,lap,5
1329,"rumah,",5
1330,unggah,5
1331,membersihkan,5
1332,alas,5
1333,set,5
1334,lemot,5
1335,sekolah dasar,5
1336,terbaca,5
1337,anggap,5
1338,memakai,5
1339,logitech,5
1340,2pcs,5
1341,mbak,5
1342,keburu,5
1343,antaraja,5
1344,diminum,5
1345,asem,5
1346,pastikan,5
1347,selasa,5
1348,dari ,5
1349,pembayaran,5
1350,"11,",5
1351,gunting,5
1352,(tidak,5
1353,jebol,5
1354,pemberitahuan,5
1355,jarang,5
1356,dagang,5
1357,"gini,",5
1358,23,5
1359,but,5
1360,pengguna,5
1361,kalah,5
1362,cair,5
1363,"toko,",5
1364,ketersediaan,5
1365,rate,5
1366,silver,5
1367,ditukar,5
1368,tukang,5
1369,mereknya,5
1370,terus ,5
1371,pulang,5
1372,digambar,5
1373,penyok2,5
1374,panjangnya,5
1375,bam,5
1376,pengajuan,5
1377,"komplain,",5
1378,melekat,5
1379,sablonan,5
1380,membalas,5
1381,penerima,5
1382,sempit,5
1383,mukena,5
1384,jilbab,5
1385,mint,5
1386,"konfirmasi,",5
1387,resolusi,5
1388,nge,5
1389,seenak,5
1390,tertera,5
1391,kindle,5
1392,"salah,",5
1393,"hancur,",5
1394,keluhan,5
1395,cetakan,5
1396,jawabannya,5
1397,"pecah,",5
1398,tingkat,5
1399,gm,5
1400,jempol,5
1401,"??,",5
1402,headset,5
1403,lemah,5
1404,menyengat,5
1405,mejanya,5
1406,bukti,5
1407,om,5
1408,made,5
1409,judul,5
1410,15,5
1411,keripik,5
1412,diubah,5
1413,sudah ,5
1414,mangga,5
1415,sadar,5
1416,bolt,5
1417,februari,5
1418,kejadian,5
1419,unilever,5
1420,april,5
1421,terbungkus,5
1422,penyelesaian,5
1423,0,5
1424,happy,5
1425,agustus,5
1426,bahanya,5
1427,kupon,5
1428,sabun,5
1429,t9,5
1430,2021,5
1431,hebat,4
1432,"yah,",4
1433,kipasnya,4
1434,dompet,4
1435,kerasa,4
1436,auto,4
1437,tua,4
1438,"bgs,",4
1439,fresh,4
1440,kimchi,4
1441,rekomend,4
1442,keluarga,4
1443,joyko,4
1444,pertahankan,4
1445,"dicoba,",4
1446,terang!,4
1447,pancaran,4
1448,beragam,4
1449,�,4
1450,stiker,4
1451,gantungan,4
1452,bener�,4
1453,ketiga,4
1454,cupang,4
1455,"keren,",4
1456,hrga,4
1457,loreal,4
1458,"hasilnya,",4
1459,tanggap,4
1460,lilinnya,4
1461,cakap,4
1462,negeri,4
1463,"nyaman,",4
1464,olahraga,4
1465,"responsive,",4
1466,menyimpan,4
1467,mantap??,4
1468,terpercaya,4
1469,thankyou,4
1470,screenshoot,4
1471,selembar,4
1472,ke2,4
1473,kamar,4
1474,"ongkir,",4
1475,"pengiriman,",4
1476,pelindungnya,4
1477,defect,4
1478,cutter,4
1479,pinggiran,4
1480,sisanya,4
1481,diisi,4
1482,anakku,4
1483,diharapkan,4
1484,high,4
1485,way,4
1486,fragile,4
1487,rodanya,4
1488,nice,4
1489,daerah,4
1490,jabodetabek,4
1491,"sempurna,",4
1492,micro,4
1493,"premium,",4
1494,bluetooth,4
1495,premium,4
1496,"lumayan,",4
1497,baterainya,4
1498,durasi,4
1499,baret,4
1500,"dipake,",4
1501,"garansi,",4
1502,bungkusan,4
1503,resletingnya,4
1504,kegedean,4
1505,"besar,",4
1506,pas!,4
1507,etalase,4
1508,motifnya,4
1509,random,4
1510,dalam ,4
1511,daster,4
1512,bali,4
1513,"segini,",4
1514,sudut,4
1515,"penyok2,",4
1516,"lepas,",4
1517,sip,4
1518,simple,4
1519,pedia,4
1520,better,4
1521,bersihkan,4
1522,waspada,4
1523,seller!!,4
1524,"coba,",4
1525,dirakit,4
1526,"sale,",4
1527,pad,4
1528,dikeluarkan,4
1529,"mudah,",4
1530,grab,4
1531,transfer,4
1532,rembes,4
1533,kekuatan,4
1534,kedap,4
1535,genggam,4
1536,"terang,",4
1537,kelipet,4
1538,"bekas,",4
1539,dengar,4
1540,"sellernya,",4
1541,kontrolnya,4
1542,tasnya,4
1543,kusut,4
1544,????????????????????,4
1545,ganti2,4
1546,bibir,4
1547,mengeluarkan,4
1548,kayak,4
1549,audio,4
1550,tabung,4
1551,"lecet,",4
1552,sekaliii,4
1553,"terimakasih,",4
1554,kesehatan,4
1555,insya,4
1556,min,4
1557,mp3,4
1558,packaging-nya,4
1559,"kosong,",4
1560,garis,4
1561,singlet,4
1562,"lucu,",4
1563,simpan,4
1564,melengkung,4
1565,terdeteksi,4
1566,aga,4
1567,"jual,",4
1568,controller,4
1569,gamenya,4
1570,button,4
1571,mainkan,4
1572,step,4
1573,install,4
1574,kartunya,4
1575,design,4
1576,keluaran,4
1577,layani,4
1578,casan,4
1579,"kering,",4
1580,terdaftar,4
1581,tambahkan,4
1582,bolak,4
1583,handphonenya,4
1584,"dibuka,",4
1585,debu,4
1586,"box,",4
1587,shop,4
1588,irit,4
1589,eror,4
1590,pel,4
1591,mandi,4
1592,didalamnya,4
1593,kebaca,4
1594,cakap ,4
1595,situ,4
1596,diambil,4
1597,"seadanya,",4
1598,lapisan,4
1599,red,4
1600,center,4
1601,orbin,4
1602,salahnya,4
1603,kirim2,4
1604,"store,",4
1605,setipis,4
1606,"kotak,",4
1607,alamatnya,4
1608,hancur ,4
1609,tercium,4
1610,berjamur,4
