label,emotions,tweet
anger,1,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)"
happy,2,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan."
love,4,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya "
fear,5,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata"
happy,2,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu
happy,2,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.
sadness,3,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu."
happy,2,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.
anger,1,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!"
fear,5,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. 
anger,1,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow
sadness,3,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent"
happy,2,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate 
anger,1,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?
anger,1,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu"
anger,1,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan"
love,4,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu""."
anger,1,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...
anger,1,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo"
anger,1,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?"
fear,5,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut."
sadness,3,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw"
sadness,3,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam"
fear,5,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan."
anger,1,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.
anger,1,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?
anger,1,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?
anger,1,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*
sadness,3,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi"
anger,1,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?"
happy,2,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,"
anger,1,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL]
happy,2,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]"
anger,1,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME]
fear,5,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied "
sadness,3, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani
anger,1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa
anger,1," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]"
anger,1,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak
sadness,3,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.
anger,1,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL]
anger,1,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL]
sadness,3,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?"
anger,1,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih
anger,1,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]"
fear,5,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL]
anger,1,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..
sadness,3,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!
happy,2,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  "
anger,1,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??"
anger,1,"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]"
anger,1,Tipikal cowo menye menye bgt ni. Paling ngga bisa diajak argumen. Menyalahkan orang dan mengeluh terus ni manusia maha sempurna. Pen ngatain goblok tapi puasa.
happy,2,Tiada henti 2ny q mengucap syukut alhmdllh.... Skrg aku bsa.... Uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah.... Mski tak sbrpa inysllh lma2 mmbukit amn [URL]
anger,1,"Kamu mau ngomong apa.Kayaknya kamu dendam kpd Anies.Pernah disakiti olh gub Anies?Salah apa Anies kpdmu?.Knp dendam?Kamu klmpok DKI42% yg tdk puny gub,Anies bukan [URL] pada tempatnya kamu maki2 Anies.Salah. [URL]"
sadness,3,Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja 
sadness,3,Orang yg pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tdk bs meraih impian dan sdh kehilangan banyak Harta.
sadness,3,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :("
fear,5,"Ada khabar kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sdh dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yg menyidik.amin"
fear,5,"Jangan ngecengin gua lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini udah ada blog-nya juga.. ..ya walaupun nulisnya nggak jam 2 dinihari sih."
anger,1,Cari orang2 yg selalu menyudutkan Ansor. Sabar itu bagus tp kalau terus menerus difitnah disalahkan jangan tinggal diam Saatnya
love,4,"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k"
anger,1,"Itu lah bodoh mu bong.. disuruh baca, tidak mau baca... PBB CIKAL BAKALNYA DARI MASYUMI , PBB =KELUARGA BESAR BULAN BINTANG = MASYUMI dasar bong200"
fear,5,Mudah2an sudah terupload smua sebelum z mudik Karna fans modal quota pun butuh daerah dengan jaringan yang bagus.. hiksss Hitungan jam juga br slsi kalo z mo donlot ini di rumahku pi 
anger,1,Orang pendukung khilafah memang harus di black mail [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL]
anger,1,"jangan sok akrab ye mention mention gue , maling dulu aje yg bener nanti kalo udah sukses jadi malingnye baru gue bales mentionan lu lu pada .. #SalamSatuNyaliLari #BonekJancuk [URL]"
happy,2,"Alhamdulillah Prof, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. Aamiin Yaa Rabbal 'Aalamiin."
happy,2,"Keren!! Kira-kira masih ada nggak yg bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas ummat lain. Kl ada yg masih bilang Beliau an"
anger,1,"[USERNAME] saya kan datang untuk bertanya, kemudian ngobrol tuh sama mba mba Help desk. tapi saya tetep ga ngerti karena ga dapet jawaban yg menjawab pertanyaan saya. trus mbanya lama lama agak emosi, yaudah makin ga kejawab dong, trus saya pulang."
anger,1,"Sering tuh gua digituin pas kalo baru ketemu Apsara lagi ""kok perawatannya makin banyak? Makin gendut aja sih "" wah senyum aja iya2in aja dalem hati ""bacot lu anjing"""
fear,5,"kalo sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan. kalo kebiasaan buruk mungkin sulit ya? karena semacam udah jadi hobi, gitu ga sih?"
fear,5," berdesakan..bejubelan, di kRL adalah salah satu godaan dalam berpuasa.....apalagi d dpn nya ada wanita cantik sambil ngunyah tahu gejrot...hehe.."
anger,1,[USERNAME] #belanjaitugakribet ternyata cm slogan doang.stelah dkomplen ternyata dbatalin sepihak. Dan nama besar itu ndak jaminan keprofesionalan ya..trus nyampein ke pihak official store klo sy yg batalin..pdhl samsek ga sy batalin.jd skrg sy udh tau kal
happy,2,Happy birthday to us [USERNAME] and happy 6th anniv wkwkwk Bentar lagi kita putus huhu aku harus cari pacar baru :3 [URL]
fear,5,Terus.. Baca komen2nya pada bilang kalo musik itu haram. Dan bla bla. Nah disini aku tau. Kalo fanatik kan emang gaboleh. Tp kalau sekedar suka gitu gimana?
happy,2,"Rabu, 06-06-2018, anakbujangku selesai menempuh pendidikan di TK Bhakti Ibu, Bakauheni. Eit, ternyata ia dapat piala jugak hehehe"
anger,1,SAYA HIDUP DIZAMAN PRESIDEN HEBAT YAITU SOEHARTO.. Beliau Buat Aman dan tenang untuk Masyarakat..... Tetapi tidak tenang untuk: Kaum PKI Kaum Rampok Kaum Bandit Kaum yg ingin jadi pejabat negara tapi otaknya kosong. Hanya kaum itulah yg Tidak Suka Bapak SOEHARTO [URL]
happy,2,"Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]"
anger,1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng "
sadness,3,"Bagi anda anda yg dianugerahi gigi rapi dari lahir, bersyukurlah ! Karena pake behel ternyata lebih sakit daripada sakit hati. #menurutguesih"
happy,2," Alhamdulillah Pie,,di RSUP Kariadi ini bener2 diurus, jd sudah gak panas tinggi lg soalnya langsung dikasih Paracetamol yg botolan"
anger,1,"Melihat udah terlalu banyak [USERNAME] project yang jatohnya malah jadi scam dan fraud, asli gue pengen coba deh bawa mereka sama creator creator mereka yang udah bawa kabur duit banyak orang (termasuk gue) ke ranah hukum Indonesia."
anger,1,"Soal Via Vallen, Gue Sepakat Sama Nikita Mirzani jangan lebay! Kalau Gak Suka Di gituin, tinggal tolak dan block tu orang, jgn di share2 jadi konsumsi publik! Kek ingin menampilkan kepolosan tak berdosa gimana gituu.. #menurutkusih "
fear,5,"Baru 'ngerusuh' di balai desa Terus pas mau pulang tadi, bu lurah nanya, ""Mba Ulfah... itu temannya yang satu ke mana sih, kok ndak kelihatan?"" ""Hah? Teman saya buk? O.o"" Bu Lurah: ""Iya, yang biasa bareng, dari senin ndak berangkat lho."" WAIT, DARI SENIN????"
fear,5,"Mba PPS: ""Tuh, pasti ada apa-apa.... mba Ulfa juga pasti ngerasa ini kok ga ada."" ""....Sebentar, sebentar..."" DIA KENAPA LAGI SIH, DARI SENIN GA BERANGKAT :""( Bikin khawatir aja T.T"
anger,1,"Hadeh ini lagi Satu Cewe yg udh pikirannya jahat, jari jarinya jahat. Dinikmati? Heh mbak emang penyanyi dangdut itu auto lonte? Lonte juga bisa kena sexual harassment mbaaaak."
sadness,3,"lu ngapa si galau mulu:( lu kalo galau banyak diem, kalau lg seneng gabisa diem. Mangat dong kak nanas seneng itu bisa nularin ke orang2 loh:( wkwk"
anger,1,Sudah berjuta kali bong dikasih tau.. Pak Harto hanya kejam : Pki Bandit Rampok Lo keturunan kelompok mana bong??? Hahahahaha
happy,2,"Sebentar lagi ketemu krucil-krucil ponakan yang gemesin banget, suka nya minta main berantem-beranteman. Seru sih meskipun ya resiko pada pegel-pegel nantinya, sedikit-sedikit sambil ngajarin berhitung agar #JadiLebihBaik lagi Nanti pas masuk sekolah"
anger,1,"Lalu bagaimana dengan negara? Mereka akan kehilangan banyak pendapatan dari cukai rokok. Hutang negara akan semakin banyak. Ah, itu kan hanya pembenaranmu saja. Coba lihat ini! Bagaimana? Apa pendapatmu masih sama? [URL]"
fear,5,"Eh tapi numbuhin brewok juga buat nyenengin diri sendiri sih, compliment dari sesama cowok bonus lah. Tapi ga dirawat dikit langsung tumbuh liar atau gatel banget"
anger,1,"Kosan deket kantor, dateng paling telat, trus kalo siang tidur pula selonjoran di sofa. Temen kantor kaya gini emang perlu dikatain tai sih."
anger,1,"si [USERNAME] ini ngga bisa seenak dewe melepaskan tanggung jawab ke backers cuma berdasarkan ToC antara Kickstarter selaku penyedia platform crowd-funding, creators, dan backers. ToC tetap tunduk ke hukum yang berlaku di governing law si ToC. Gue mau cari legal loophole nya. [URL]"
sadness,3,Ada anak sma habis perpisahan atau semacam wisuda sekolah. Foto bareng sama temen-temennya sejawat dgn pakai kebaya lalu di post di IG dengan caption 'Nanti siapa ya yang bakal nikah duluan'. Ku langsung tertunduk lesu dan seraya ingin minum extra joss. Cuk.
happy,2,"Awak sih jd org slow, mau di omongin a to z asal ale bnyk makan, ngga cranky, berat naik udh bahagia. Mslh apapun jd kyk ngga ada. Ibu2 bgt sih skrg"
anger,1,Ganti presiden? Siapa takut...hanya siapa calonnya? Apa si doi yg onoh? Ih gak syudih
anger,1,"Para penipu ,kasihan ibukota negara gw di pimpin sama mereka2 yg haus jabatan tanpa mementingkan rakyatnya ,,,tai buat [USERNAME] [USERNAME]"
fear,5,"Perginya diantar sama teman, gak bawa HP. Udah janjian biar dijemput jam setengah 2. Krna sayanya ketiduran, dan yg jemput gak nongol2, bingung mau gmna. Akhirnya jalan kaki 2 km siang bolong. Ngeri kali lahh~~ vanashh syekaleh vemirsyahh"
sadness,3,"iya, kamu laki-laki, sang pengambil keputusan. tapi kan aku juga ingin dianggap, diajak berdiskusi, dimintai pendapat, diajak mencari jalan keluar, atau sekadar ditenangkan kecemasannya. aku ini ada. jangan hidup sendiri. [USERNAME]"
sadness,3,"Akhirnya ingin berkata juga, aku ga mau sakit, knp migrain ini harus dtg saat lagi byk2nya masalah yg membutuhkan tenaga mikir, apalagi bentar lg harus mudik. Ya Allah kenapa coba "
happy,2,"Pengen cerita dari kemaren gak sempet. Beberapa hari yg lalu tarawih di masjid gak konsen banget posisi lagi apes. Gimana gak, posisi solat di shaf depan ada mas2 pake sarung trus sarung nya nyeplak pantatnya pas banget, ketat. Kampret, pen ngakak tp lagi solat. Syit."
happy,2,Congratulation [USERNAME] semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung [USERNAME] Break a leg!!! [URL]
fear,5,"Gak jamin deh. Tapi gemana pak Police [USERNAME] , siap gak kerja tanpa pungli dan sejenisnya. Korup, pungli itu bagai addicted. Sekali nyoba, keenakan. Nambah lagi deh. #generasiantikorupsi"
anger,1,"Looh, kok merendahkan semangat perlindungan perempuan sih? Justru jadi cewek itu kudu tegas dan galak sama laki2 kek gitu! Di block aja udah..ngapain di share2 sampe se indonesia tau"
